model:  21
model depth: 10^{10}g/cc
relative accuracy in total stellar mass SMASS .1000000E-06
central grav.mass density [g/cc] .1000000E+16
stellar mass [g] .3685329E+34 stellr mass [M_{sun}]    0.185E+01
g14 - gravitational acceleration in 10^{14} cm/s^2 .2116947E+01
radius .1245748E+07
spatialKnotsNumber:   1143                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
 spatialKnot      rho            pressure         lagrangianMass      Phi                    redshiftFactor              volumeFactor
.7551935E+06    .6707584E+15    .7029414E+35    .1507271E+34        -0.4645271160E+00         0.6284322105E+00         0.1191799443E+01
.7629937E+06    .6645356E+15    .6849220E+35    .1545757E+34        -0.4618387340E+00         0.6301239493E+00         0.1195587327E+01
.7707503E+06    .6582488E+15    .6669523E+35    .1584632E+34        -0.4591277185E+00         0.6318345428E+00         0.1199413410E+01
.7785069E+06    .6518515E+15    .6489099E+35    .1624330E+34        -0.4563745391E+00         0.6335764935E+00         0.1203335428E+01
.7862635E+06    .6454569E+15    .6311218E+35    .1664006E+34        -0.4536285346E+00         0.6353186883E+00         0.1207214275E+01
.7950811E+06    .6354503E+15    .6037832E+35    .1726165E+34        -0.4493444041E+00         0.6380463151E+00         0.1214414701E+01
.8049598E+06    .6271295E+15    .5815153E+35    .1777927E+34        -0.4457952436E+00         0.6403148672E+00         0.1219446781E+01
.8148385E+06    .6186220E+15    .5591865E+35    .1830859E+34        -0.4421798927E+00         0.6426340199E+00         0.1224613226E+01
.8247171E+06    .6101176E+15    .5373120E+35    .1883740E+34        -0.4385805951E+00         0.6449512186E+00         0.1229711170E+01
.8341438E+06    .6029783E+15    .5192948E+35    .1928015E+34        -0.4355712852E+00         0.6468950000E+00         0.1233487886E+01
.8431186E+06    .5950941E+15    .4997669E+35    .1976889E+34        -0.4322618789E+00         0.6490393847E+00         0.1238156846E+01
.8520933E+06    .5870463E+15    .4802350E+35    .2026556E+34        -0.4288998249E+00         0.6512251624E+00         0.1242911708E+01
.8610681E+06    .5789982E+15    .4611092E+35    .2076176E+34        -0.4255548419E+00         0.6534071469E+00         0.1247613103E+01
.8696438E+06    .5722113E+15    .4452988E+35    .2117676E+34        -0.4227483729E+00         0.6552434894E+00         0.1251074976E+01
.8778205E+06    .5647351E+15    .4282204E+35    .2163421E+34        -0.4196727978E+00         0.6572618421E+00         0.1255369701E+01
.8859972E+06    .5571106E+15    .4111694E+35    .2209667E+34        -0.4165544063E+00         0.6593146409E+00         0.1259712511E+01
.8941739E+06    .5494832E+15    .3944831E+35    .2255873E+34        -0.4134542453E+00         0.6613617941E+00         0.1264013048E+01
.9019922E+06    .5430366E+15    .3806707E+35    .2294401E+34        -0.4108500157E+00         0.6630863767E+00         0.1267146229E+01
.9094522E+06    .5359432E+15    .3657809E+35    .2336866E+34        -0.4080022244E+00         0.6649773996E+00         0.1271060510E+01
.9169121E+06    .5287112E+15    .3509337E+35    .2379610E+34        -0.4051188125E+00         0.6668975704E+00         0.1274993495E+01
.9243721E+06    .5214744E+15    .3364146E+35    .2422317E+34        -0.4022547609E+00         0.6688103373E+00         0.1278892702E+01
.9315060E+06    .5153549E+15    .3244015E+35    .2457767E+34        -0.3998502464E+00         0.6704204364E+00         0.1281691467E+01
.9383138E+06    .5086218E+15    .3114641E+35    .2496878E+34        -0.3972237500E+00         0.6721836077E+00         0.1285224553E+01
.9451216E+06    .5017557E+15    .2985742E+35    .2536098E+34        -0.3945669195E+00         0.6739718601E+00         0.1288753849E+01
.9519294E+06    .4948836E+15    .2859796E+35    .2575286E+34        -0.3919304411E+00         0.6757511168E+00         0.1292255935E+01
.9584376E+06    .4890777E+15    .2755785E+35    .2607623E+34        -0.3897214633E+00         0.6772454859E+00         0.1294722024E+01
.9646462E+06    .4826843E+15    .2643785E+35    .2643369E+34        -0.3873091450E+00         0.6788811897E+00         0.1297878790E+01
.9708548E+06    .4761608E+15    .2532248E+35    .2679098E+34        -0.3848703847E+00         0.6805388387E+00         0.1301014994E+01
.9770633E+06    .4696303E+15    .2423365E+35    .2714800E+34        -0.3824527613E+00         0.6821861158E+00         0.1304129162E+01
.9829946E+06    .4641247E+15    .2333724E+35    .2744051E+34        -0.3804336816E+00         0.6835648954E+00         0.1306271071E+01
.9886486E+06    .4580523E+15    .2237140E+35    .2776477E+34        -0.3782276989E+00         0.6850744922E+00         0.1309061863E+01
.9943027E+06    .4518506E+15    .2140971E+35    .2808792E+34        -0.3759981512E+00         0.6866036024E+00         0.1311820105E+01
.9999567E+06    .4456412E+15    .2047180E+35    .2841084E+34        -0.3737902747E+00         0.6881212131E+00         0.1314560458E+01
.1005353E+07    .4404224E+15    .1970281E+35    .2867329E+34        -0.3719541570E+00         0.6893858453E+00         0.1316392611E+01
.1010491E+07    .4346537E+15    .1887327E+35    .2896523E+34        -0.3699459079E+00         0.6907716949E+00         0.1318832817E+01
.1015630E+07    .4287552E+15    .1804723E+35    .2925542E+34        -0.3679162436E+00         0.6921751534E+00         0.1321232465E+01
.1020768E+07    .4228484E+15    .1724241E+35    .2954542E+34        -0.3659085101E+00         0.6935662526E+00         0.1323617600E+01
.1025666E+07    .4179033E+15    .1658581E+35    .2977901E+34        -0.3642472766E+00         0.6947193856E+00         0.1325159385E+01
.1030324E+07    .4124225E+15    .1587630E+35    .3003990E+34        -0.3624274156E+00         0.6959848295E+00         0.1327268777E+01
.1034982E+07    .4068103E+15    .1516957E+35    .3029864E+34        -0.3605877840E+00         0.6972663636E+00         0.1329332877E+01
.1039639E+07    .4011894E+15    .1448171E+35    .3055722E+34        -0.3587700594E+00         0.6985349544E+00         0.1331385245E+01
.1044073E+07    .3965053E+15    .1392368E+35    .3076347E+34        -0.3572746527E+00         0.6995803297E+00         0.1332659933E+01
.1048282E+07    .3912975E+15    .1331940E+35    .3099492E+34        -0.3556331488E+00         0.7007296366E+00         0.1334461843E+01
.1052491E+07    .3859564E+15    .1271721E+35    .3122397E+34        -0.3539731846E+00         0.7018937887E+00         0.1336216364E+01
.1056700E+07    .3806063E+15    .1213171E+35    .3145289E+34        -0.3523348244E+00         0.7030446860E+00         0.1337961462E+01
.1060700E+07    .3761706E+15    .1165963E+35    .3163362E+34        -0.3509953818E+00         0.7039870050E+00         0.1338995053E+01
.1064491E+07    .3712221E+15    .1114717E+35    .3183745E+34        -0.3495216103E+00         0.7050252859E+00         0.1340515442E+01
.1068283E+07    .3661382E+15    .1063616E+35    .3203879E+34        -0.3480304852E+00         0.7060773510E+00         0.1341988411E+01
.1072074E+07    .3610451E+15    .1013984E+35    .3224002E+34        -0.3465603971E+00         0.7071161102E+00         0.1343453875E+01
.1075670E+07    .3568457E+15    .9742264E+34    .3239720E+34        -0.3453664368E+00         0.7079608830E+00         0.1344273942E+01
.1079072E+07    .3521437E+15    .9309498E+34    .3257544E+34        -0.3440492994E+00         0.7088939792E+00         0.1345540428E+01
.1082475E+07    .3473044E+15    .8877661E+34    .3275120E+34        -0.3427158081E+00         0.7098399137E+00         0.1346761012E+01
.1085877E+07    .3424558E+15    .8458660E+34    .3292686E+34        -0.3414025474E+00         0.7107727309E+00         0.1347975685E+01
.1089099E+07    .3384809E+15    .8125262E+34    .3306259E+34        -0.3403431646E+00         0.7115261103E+00         0.1348610266E+01
.1092141E+07    .3340134E+15    .7761306E+34    .3321737E+34        -0.3391712311E+00         0.7123604604E+00         0.1349651164E+01
.1095183E+07    .3294072E+15    .7397849E+34    .3336976E+34        -0.3379839040E+00         0.7132067676E+00         0.1350648784E+01
.1098224E+07    .3247917E+15    .7045541E+34    .3352207E+34        -0.3368157941E+00         0.7140403582E+00         0.1351641801E+01
.1101100E+07    .3210297E+15    .6767080E+34    .3363850E+34        -0.3358798600E+00         0.7147089658E+00         0.1352118407E+01
.1103809E+07    .3167856E+15    .6462197E+34    .3377201E+34        -0.3348415247E+00         0.7154514587E+00         0.1352961846E+01
.1106519E+07    .3124019E+15    .6157486E+34    .3390328E+34        -0.3337887599E+00         0.7162050575E+00         0.1353765349E+01
.1109228E+07    .3080092E+15    .5862391E+34    .3403449E+34        -0.3327540289E+00         0.7169465206E+00         0.1354565318E+01
.1111785E+07    .3044490E+15    .5630660E+34    .3413374E+34        -0.3319303872E+00         0.7175372709E+00         0.1354910090E+01
.1114189E+07    .3004178E+15    .5376198E+34    .3424819E+34        -0.3310140308E+00         0.7181950921E+00         0.1355583242E+01
.1116594E+07    .2962471E+15    .5121673E+34    .3436058E+34        -0.3300842362E+00         0.7188631766E+00         0.1356220202E+01
.1118998E+07    .2920675E+15    .4875385E+34    .3447292E+34        -0.3291711627E+00         0.7195198513E+00         0.1356854485E+01
.1121263E+07    .2886983E+15    .4683153E+34    .3455705E+34        -0.3284488132E+00         0.7200397838E+00         0.1357091553E+01
.1123390E+07    .2848702E+15    .4471473E+34    .3465460E+34        -0.3276429640E+00         0.7206202612E+00         0.1357620002E+01
.1125516E+07    .2809037E+15    .4259577E+34    .3475028E+34        -0.3268247020E+00         0.7212101586E+00         0.1358116153E+01
.1127642E+07    .2769286E+15    .4054685E+34    .3484592E+34        -0.3260217605E+00         0.7217894808E+00         0.1358610306E+01
.1129643E+07    .2737398E+15    .3895631E+34    .3491691E+34        -0.3253900243E+00         0.7222456054E+00         0.1358761338E+01
.1131517E+07    .2701056E+15    .3720037E+34    .3499962E+34        -0.3246835081E+00         0.7227560639E+00         0.1359168613E+01
.1133392E+07    .2663352E+15    .3544139E+34    .3508066E+34        -0.3239656351E+00         0.7232750972E+00         0.1359547443E+01
.1135267E+07    .2625567E+15    .3374154E+34    .3516166E+34        -0.3232616332E+00         0.7237844635E+00         0.1359924803E+01
.1137028E+07    .2595380E+15    .3242798E+34    .3522134E+34        -0.3227102908E+00         0.7241836266E+00         0.1360008755E+01
.1138676E+07    .2560890E+15    .3097462E+34    .3529115E+34        -0.3220923638E+00         0.7246312575E+00         0.1360316027E+01
.1140325E+07    .2525073E+15    .2951788E+34    .3535949E+34        -0.3214641553E+00         0.7250866200E+00         0.1360598522E+01
.1141973E+07    .2489180E+15    .2811066E+34    .3542781E+34        -0.3208483557E+00         0.7255332656E+00         0.1360879951E+01
.1143521E+07    .2460596E+15    .2702693E+34    .3547784E+34        -0.3203677539E+00         0.7258820420E+00         0.1360913001E+01
.1144967E+07    .2427877E+15    .2582580E+34    .3553656E+34        -0.3198282117E+00         0.7262737917E+00         0.1361138920E+01
.1146414E+07    .2393879E+15    .2462132E+34    .3559399E+34        -0.3192794679E+00         0.7266724393E+00         0.1361343456E+01
.1147860E+07    .2359811E+15    .2345801E+34    .3565141E+34        -0.3187416880E+00         0.7270633343E+00         0.1361547232E+01
.1149218E+07    .2332734E+15    .2256387E+34    .3569330E+34        -0.3183228129E+00         0.7273679468E+00         0.1361542847E+01
.1150486E+07    .2301709E+15    .2157177E+34    .3574256E+34        -0.3178520712E+00         0.7277104298E+00         0.1361703520E+01
.1151754E+07    .2269466E+15    .2057663E+34    .3579071E+34        -0.3173731974E+00         0.7280589947E+00         0.1361845878E+01
.1153022E+07    .2237163E+15    .1961546E+34    .3583884E+34        -0.3169038841E+00         0.7284007626E+00         0.1361987703E+01
.1154212E+07    .2211500E+15    .1887678E+34    .3587392E+34        -0.3165384026E+00         0.7286670283E+00         0.1361956822E+01
.1155323E+07    .2182095E+15    .1805690E+34    .3591519E+34        -0.3161275503E+00         0.7289664643E+00         0.1362065893E+01
.1156434E+07    .2151551E+15    .1723450E+34    .3595551E+34        -0.3157096122E+00         0.7292711908E+00         0.1362159365E+01
.1157546E+07    .2120958E+15    .1643988E+34    .3599582E+34        -0.3152998920E+00         0.7295700492E+00         0.1362252470E+01
.1158589E+07    .2096618E+15    .1582793E+34    .3602525E+34        -0.3149801716E+00         0.7298033450E+00         0.1362203739E+01
.1159565E+07    .2068765E+15    .1514914E+34    .3605983E+34        -0.3146210038E+00         0.7300655139E+00         0.1362272542E+01
.1160540E+07    .2039867E+15    .1446845E+34    .3609360E+34        -0.3142557623E+00         0.7303322128E+00         0.1362328110E+01
.1161515E+07    .2010931E+15    .1381029E+34    .3612736E+34        -0.3138974750E+00         0.7305939284E+00         0.1362383431E+01
.1162432E+07    .1987826E+15    .1330109E+34    .3615216E+34        -0.3136166106E+00         0.7307991551E+00         0.1362323442E+01
.1163290E+07    .1961459E+15    .1273728E+34    .3618118E+34        -0.3133016636E+00         0.7310293544E+00         0.1362361205E+01
.1164148E+07    .1934153E+15    .1217224E+34    .3620952E+34        -0.3129816079E+00         0.7312633619E+00         0.1362387758E+01
.1165006E+07    .1906820E+15    .1162534E+34    .3623785E+34        -0.3126673512E+00         0.7314932024E+00         0.1362414150E+01
.1165814E+07    .1884866E+15    .1119921E+34    .3625885E+34        -0.3124192649E+00         0.7316746984E+00         0.1362347609E+01
.1166572E+07    .1859916E+15    .1072879E+34    .3628329E+34        -0.3121419068E+00         0.7318776624E+00         0.1362361685E+01
.1167330E+07    .1834133E+15    .1025777E+34    .3630715E+34        -0.3118603312E+00         0.7320837704E+00         0.1362366261E+01
.1168088E+07    .1808329E+15    .9801367E+33    .3633101E+34        -0.3115835720E+00         0.7322864093E+00         0.1362370738E+01
.1168670E+07    .1805530E+15    .9752730E+33    .3633219E+34        -0.3115538433E+00         0.7323081795E+00         0.1362099020E+01
.1169078E+07    .1791394E+15    .9509792E+33    .3634482E+34        -0.3114046404E+00         0.7324174502E+00         0.1362098588E+01
.1169485E+07    .1776990E+15    .9266712E+33    .3635728E+34        -0.3112541405E+00         0.7325276873E+00         0.1362095251E+01
.1169892E+07    .1762580E+15    .9027991E+33    .3636973E+34        -0.3111051210E+00         0.7326368563E+00         0.1362091900E+01
.1170269E+07    .1752170E+15    .8858293E+33    .3637830E+34        -0.3109984313E+00         0.7327150253E+00         0.1362041409E+01
.1170616E+07    .1739690E+15    .8657865E+33    .3638877E+34        -0.3108715852E+00         0.7328079732E+00         0.1362036401E+01
.1170963E+07    .1726993E+15    .8457332E+33    .3639910E+34        -0.3107437398E+00         0.7329016653E+00         0.1362029197E+01
.1171310E+07    .1714288E+15    .8260082E+33    .3640943E+34        -0.3106170478E+00         0.7329945240E+00         0.1362021986E+01
.1171637E+07    .1704306E+15    .8107480E+33    .3641721E+34        -0.3105183752E+00         0.7330668540E+00         0.1361984155E+01
.1171943E+07    .1692887E+15    .7935511E+33    .3642623E+34        -0.3104064711E+00         0.7331488918E+00         0.1361976031E+01
.1172250E+07    .1681272E+15    .7763403E+33    .3643514E+34        -0.3102937030E+00         0.7332315723E+00         0.1361966122E+01
.1172556E+07    .1669646E+15    .7594022E+33    .3644405E+34        -0.3101819437E+00         0.7333135223E+00         0.1361956210E+01
.1172849E+07    .1659903E+15    .7454303E+33    .3645123E+34        -0.3100891574E+00         0.7333815669E+00         0.1361925661E+01
.1173128E+07    .1649135E+15    .7302279E+33    .3645924E+34        -0.3099875674E+00         0.7334560749E+00         0.1361915136E+01
.1173406E+07    .1638164E+15    .7150021E+33    .3646714E+34        -0.3098851406E+00         0.7335312043E+00         0.1361903070E+01
.1173685E+07    .1627179E+15    .7000247E+33    .3647505E+34        -0.3097837000E+00         0.7336056180E+00         0.1361891002E+01
.1173955E+07    .1617348E+15    .6868509E+33    .3648187E+34        -0.3096938972E+00         0.7336715008E+00         0.1361865829E+01
.1174217E+07    .1606834E+15    .6730102E+33    .3648919E+34        -0.3095989464E+00         0.7337411667E+00         0.1361853137E+01
.1174478E+07    .1596086E+15    .6591292E+33    .3649643E+34        -0.3095030816E+00         0.7338115101E+00         0.1361839027E+01
.1174739E+07    .1585317E+15    .6454983E+33    .3650366E+34        -0.3094083007E+00         0.7338810647E+00         0.1361824915E+01
.1174999E+07    .1574518E+15    .6321161E+33    .3651064E+34        -0.3093146078E+00         0.7339498274E+00         0.1361807444E+01
.1175257E+07    .1563574E+15    .6188527E+33    .3651770E+34        -0.3092210976E+00         0.7340184624E+00         0.1361792067E+01
.1175515E+07    .1552304E+15    .6055183E+33    .3652466E+34        -0.3091264108E+00         0.7340879675E+00         0.1361775219E+01
.1175774E+07    .1540997E+15    .5924780E+33    .3653163E+34        -0.3090331303E+00         0.7341564468E+00         0.1361758369E+01
.1176124E+07    .1513150E+15    .5618612E+33    .3654843E+34        -0.3088112850E+00         0.7343193340E+00         0.1361852491E+01
.1176566E+07    .1492457E+15    .5405517E+33    .3656007E+34        -0.3086543687E+00         0.7344345698E+00         0.1361819113E+01
.1177009E+07    .1470063E+15    .5189331E+33    .3657141E+34        -0.3084928437E+00         0.7345532089E+00         0.1361780851E+01
.1177451E+07    .1447266E+15    .4985012E+33    .3658275E+34        -0.3083378047E+00         0.7346671021E+00         0.1361742527E+01
.1177735E+07    .1454772E+15    .5050520E+33    .3657758E+34        -0.3083879061E+00         0.7346302952E+00         0.1361519938E+01
.1177862E+07    .1447927E+15    .4990715E+33    .3658079E+34        -0.3083421664E+00         0.7346638977E+00         0.1361508489E+01
.1177989E+07    .1440823E+15    .4930174E+33    .3658397E+34        -0.3082957702E+00         0.7346979841E+00         0.1361496579E+01
.1178115E+07    .1433701E+15    .4871033E+33    .3658716E+34        -0.3082502224E+00         0.7347314487E+00         0.1361484669E+01
.1178235E+07    .1427767E+15    .4822944E+33    .3658965E+34        -0.3082130165E+00         0.7347587856E+00         0.1361465006E+01
.1178349E+07    .1421131E+15    .4770429E+33    .3659247E+34        -0.3081722054E+00         0.7347887725E+00         0.1361453948E+01
.1178462E+07    .1414225E+15    .4717183E+33    .3659527E+34        -0.3081306282E+00         0.7348193236E+00         0.1361442487E+01
.1178576E+07    .1407303E+15    .4665233E+33    .3659807E+34        -0.3080898631E+00         0.7348492792E+00         0.1361431026E+01
.1178681E+07    .1402097E+15    .4627090E+33    .3660003E+34        -0.3080598027E+00         0.7348713694E+00         0.1361410260E+01
.1178778E+07    .1395948E+15    .4583040E+33    .3660240E+34        -0.3080249451E+00         0.7348969857E+00         0.1361400161E+01
.1178875E+07    .1389554E+15    .4538363E+33    .3660476E+34        -0.3079894319E+00         0.7349230847E+00         0.1361389742E+01
.1178971E+07    .1383149E+15    .4494745E+33    .3660711E+34        -0.3079545998E+00         0.7349486841E+00         0.1361379322E+01
.1179064E+07    .1377706E+15    .4458552E+33    .3660899E+34        -0.3079255726E+00         0.7349700179E+00         0.1361363691E+01
.1179151E+07    .1371687E+15    .4419435E+33    .3661110E+34        -0.3078940686E+00         0.7349931728E+00         0.1361353999E+01
.1179239E+07    .1365430E+15    .4379754E+33    .3661319E+34        -0.3078619669E+00         0.7350167676E+00         0.1361344022E+01
.1179326E+07    .1359166E+15    .4341005E+33    .3661528E+34        -0.3078304744E+00         0.7350399155E+00         0.1361334044E+01
.1179412E+07    .1353374E+15    .4306010E+33    .3661711E+34        -0.3078019066E+00         0.7350609143E+00         0.1361321180E+01
.1179494E+07    .1347243E+15    .4269811E+33    .3661906E+34        -0.3077722243E+00         0.7350827329E+00         0.1361311517E+01
.1179577E+07    .1340875E+15    .4233097E+33    .3662100E+34        -0.3077419797E+00         0.7351049655E+00         0.1361301579E+01
.1179659E+07    .1334505E+15    .4197235E+33    .3662293E+34        -0.3077122963E+00         0.7351267863E+00         0.1361291642E+01
.1179742E+07    .1327647E+15    .4159541E+33    .3662492E+34        -0.3076809403E+00         0.7351498373E+00         0.1361282205E+01
.1179827E+07    .1320903E+15    .4123354E+33    .3662688E+34        -0.3076506839E+00         0.7351720806E+00         0.1361271781E+01
.1179911E+07    .1313903E+15    .4086665E+33    .3662881E+34        -0.3076198466E+00         0.7351947517E+00         0.1361261048E+01
.1179995E+07    .1306909E+15    .4050838E+33    .3663074E+34        -0.3075895723E+00         0.7352170095E+00         0.1361250315E+01
.1180097E+07    .1293663E+15    .3985066E+33    .3663432E+34        -0.3075335614E+00         0.7352581908E+00         0.1361256679E+01
.1180217E+07    .1283187E+15    .3934773E+33    .3663704E+34        -0.3074903372E+00         0.7352899724E+00         0.1361240688E+01
.1180337E+07    .1272242E+15    .3883664E+33    .3663972E+34        -0.3074460424E+00         0.7353225427E+00         0.1361224009E+01
.1180457E+07    .1261353E+15    .3834078E+33    .3664239E+34        -0.3074026974E+00         0.7353544159E+00         0.1361207329E+01
.1180562E+07    .1255714E+15    .3808841E+33    .3664364E+34        -0.3073804914E+00         0.7353707454E+00         0.1361175625E+01
.1180651E+07    .1247477E+15    .3772452E+33    .3664560E+34        -0.3073482946E+00         0.7353944224E+00         0.1361162872E+01
.1180740E+07    .1239083E+15    .3735892E+33    .3664753E+34        -0.3073157304E+00         0.7354183703E+00         0.1361149721E+01
.1180829E+07    .1230722E+15    .3699942E+33    .3664947E+34        -0.3072834918E+00         0.7354420796E+00         0.1361136571E+01
.1180956E+07    .1207979E+15    .3604033E+33    .3665468E+34        -0.3071963845E+00         0.7355061447E+00         0.1361156664E+01
.1181122E+07    .1192237E+15    .3538890E+33    .3665818E+34        -0.3071362694E+00         0.7355503611E+00         0.1361130881E+01
.1181287E+07    .1176411E+15    .3474125E+33    .3666159E+34        -0.3070757072E+00         0.7355949090E+00         0.1361103689E+01
.1181452E+07    .1160762E+15    .3410625E+33    .3666500E+34        -0.3070155260E+00         0.7356391793E+00         0.1361076506E+01
.1181579E+07    .1159862E+15    .3406988E+33    .3666513E+34        -0.3070120550E+00         0.7356417327E+00         0.1361016389E+01
.1181666E+07    .1151621E+15    .3373731E+33    .3666692E+34        -0.3069801853E+00         0.7356651778E+00         0.1361001555E+01
.1181754E+07    .1143442E+15    .3340820E+33    .3666868E+34        -0.3069484224E+00         0.7356885450E+00         0.1360986330E+01
.1181842E+07    .1135274E+15    .3308039E+33    .3667044E+34        -0.3069165574E+00         0.7357119881E+00         0.1360971110E+01
.1181932E+07    .1126552E+15    .3273123E+33    .3667232E+34        -0.3068823629E+00         0.7357371458E+00         0.1360956819E+01
.1182023E+07    .1118157E+15    .3239595E+33    .3667412E+34        -0.3068492773E+00         0.7357614885E+00         0.1360940600E+01
.1182114E+07    .1109850E+15    .3206492E+33    .3667590E+34        -0.3068163655E+00         0.7357857041E+00         0.1360923968E+01
.1182205E+07    .1101546E+15    .3173475E+33    .3667768E+34        -0.3067832926E+00         0.7358100391E+00         0.1360907341E+01
.1182301E+07    .1091772E+15    .3134707E+33    .3667977E+34        -0.3067441389E+00         0.7358388494E+00         0.1360893486E+01
.1182401E+07    .1082797E+15    .3099199E+33    .3668168E+34        -0.3067079677E+00         0.7358654660E+00         0.1360874813E+01
.1182500E+07    .1073928E+15    .3064202E+33    .3668356E+34        -0.3066720221E+00         0.7358919176E+00         0.1360855658E+01
.1182600E+07    .1065058E+15    .3029295E+33    .3668545E+34        -0.3066358705E+00         0.7359185218E+00         0.1360836509E+01
.1182726E+07    .1047182E+15    .2959269E+33    .3668923E+34        -0.3065624287E+00         0.7359725709E+00         0.1360834881E+01
.1182877E+07    .1033983E+15    .2907867E+33    .3669201E+34        -0.3065077127E+00         0.7360128415E+00         0.1360804816E+01
.1183028E+07    .1020994E+15    .2857560E+33    .3669473E+34        -0.3064534802E+00         0.7360527584E+00         0.1360773683E+01
.1183179E+07    .1007991E+15    .2807497E+33    .3669744E+34        -0.3063988182E+00         0.7360929936E+00         0.1360742562E+01
.1183328E+07    .9956637E+14    .2760342E+33    .3669998E+34        -0.3063466790E+00         0.7361313739E+00         0.1360709466E+01
.1183476E+07    .9830690E+14    .2712487E+33    .3670258E+34        -0.3062930994E+00         0.7361708166E+00         0.1360677932E+01
.1183624E+07    .9706303E+14    .2665566E+33    .3670511E+34        -0.3062398921E+00         0.7362099873E+00         0.1360645396E+01
.1183773E+07    .9581787E+14    .2618957E+33    .3670764E+34        -0.3061863541E+00         0.7362494036E+00         0.1360612872E+01
.1183919E+07    .9465080E+14    .2575611E+33    .3670998E+34        -0.3061359339E+00         0.7362865263E+00         0.1360578229E+01
.1184063E+07    .9344984E+14    .2531363E+33    .3671239E+34        -0.3060838167E+00         0.7363249006E+00         0.1360545617E+01
.1184207E+07    .9226053E+14    .2487914E+33    .3671474E+34        -0.3060319803E+00         0.7363630700E+00         0.1360512075E+01
.1184352E+07    .9107048E+14    .2444816E+33    .3671708E+34        -0.3059798943E+00         0.7364014252E+00         0.1360478544E+01
.1184494E+07    .8996491E+14    .2405123E+33    .3671923E+34        -0.3059313144E+00         0.7364372004E+00         0.1360442889E+01
.1184634E+07    .8882131E+14    .2364420E+33    .3672144E+34        -0.3058808721E+00         0.7364743489E+00         0.1360409543E+01
.1184773E+07    .8768716E+14    .2324416E+33    .3672361E+34        -0.3058306549E+00         0.7365113335E+00         0.1360375337E+01
.1184913E+07    .8655276E+14    .2284768E+33    .3672577E+34        -0.3057802359E+00         0.7365484686E+00         0.1360341143E+01
.1185051E+07    .8550406E+14    .2248441E+33    .3672774E+34        -0.3057334540E+00         0.7365829265E+00         0.1360304949E+01
.1185186E+07    .8441644E+14    .2211098E+33    .3672978E+34        -0.3056847582E+00         0.7366187959E+00         0.1360271124E+01
.1185321E+07    .8333738E+14    .2174384E+33    .3673176E+34        -0.3056362628E+00         0.7366545194E+00         0.1360236509E+01
.1185456E+07    .8225844E+14    .2138005E+33    .3673375E+34        -0.3055875846E+00         0.7366903793E+00         0.1360201905E+01
.1185589E+07    .8126242E+14    .2104716E+33    .3673555E+34        -0.3055424746E+00         0.7367236121E+00         0.1360165499E+01
.1185719E+07    .8022897E+14    .2070472E+33    .3673743E+34        -0.3054954871E+00         0.7367582297E+00         0.1360131365E+01
.1185850E+07    .7920410E+14    .2036807E+33    .3673926E+34        -0.3054486977E+00         0.7367927030E+00         0.1360096507E+01
.1185980E+07    .7817957E+14    .2003445E+33    .3674108E+34        -0.3054017238E+00         0.7368273139E+00         0.1360061659E+01
.1186109E+07    .7723263E+14    .1972864E+33    .3674274E+34        -0.3053581208E+00         0.7368594424E+00         0.1360025235E+01
.1186235E+07    .7625126E+14    .1941428E+33    .3674446E+34        -0.3053127331E+00         0.7368928876E+00         0.1359990894E+01
.1186361E+07    .7527896E+14    .1910535E+33    .3674614E+34        -0.3052675553E+00         0.7369261795E+00         0.1359955887E+01
.1186487E+07    .7430713E+14    .1879905E+33    .3674782E+34        -0.3052221785E+00         0.7369596196E+00         0.1359920892E+01
.1186611E+07    .7340620E+14    .1851726E+33    .3674935E+34        -0.3051799046E+00         0.7369907744E+00         0.1359884543E+01
.1186733E+07    .7247459E+14    .1822804E+33    .3675094E+34        -0.3051359696E+00         0.7370231548E+00         0.1359850042E+01
.1186856E+07    .7155281E+14    .1794399E+33    .3675249E+34        -0.3050922645E+00         0.7370553672E+00         0.1359814931E+01
.1186978E+07    .7063155E+14    .1766217E+33    .3675404E+34        -0.3050483390E+00         0.7370877435E+00         0.1359779831E+01
.1187098E+07    .6977397E+14    .1740163E+33    .3675546E+34        -0.3050072176E+00         0.7371180541E+00         0.1359743582E+01
.1187217E+07    .6888975E+14    .1713480E+33    .3675692E+34        -0.3049645721E+00         0.7371494896E+00         0.1359708936E+01
.1187335E+07    .6801616E+14    .1687292E+33    .3675835E+34        -0.3049221804E+00         0.7371807392E+00         0.1359673728E+01
.1187454E+07    .6714309E+14    .1661288E+33    .3675978E+34        -0.3048795437E+00         0.7372121709E+00         0.1359638530E+01
.1187571E+07    .6632652E+14    .1637116E+33    .3676110E+34        -0.3048394080E+00         0.7372417600E+00         0.1359602362E+01
.1187687E+07    .6548729E+14    .1612420E+33    .3676246E+34        -0.3047978868E+00         0.7372723718E+00         0.1359567560E+01
.1187802E+07    .6465945E+14    .1588201E+33    .3676379E+34        -0.3047566450E+00         0.7373027789E+00         0.1359532238E+01
.1187918E+07    .6383212E+14    .1564133E+33    .3676511E+34        -0.3047151324E+00         0.7373333869E+00         0.1359496927E+01
